"DayOfTheWeek","Main","Total_Volume"
7,"LAWRENCE AVE E",90203
7,"LAWRENCE AVE W",13721
7,"LESLIE ST",93220
7,"MAIN ST",22748
7,"MARKHAM RD",220204
7,"MARTIN GROVE RD",23101
7,"MCCOWAN RD",150300
7,"MIDLAND AVE",55127
7,"MILLWOOD RD",23982
7,"MORNINGSIDE AVE",28107
7,"MORTIMER AVE",17880
7,"MOUNT PLEASANT RD",31177
7,"NEILSON RD",51458
7,"O CONNOR DR",77477
7,"PAPE AVE",20667
7,"PARKSIDE DR",13415
7,"PARLIAMENT ST",33163
7,"PASSMORE AVE",8202
7,"PHARMACY AVE",42245
7,"QUEEN ST E",65562
7,"QUEEN ST W",21094
7,"REXDALE BLVD",21826
7,"ROGERS RD",19834
7,"SCARLETT RD",11072
7,"SHEPPARD AVE E",262818
7,"SHEPPARD AVE W",34433
7,"SHERBOURNE ST",12471
7,"SOUTHVALE DR",8991
7,"SPADINA AVE",202406
7,"ST CLAIR AVE E",121433
7,"ST CLAIR AVE W",30346
7,"STEELES AVE E",161389
7,"STEELES AVE W",155786
7,"THE WEST MALL",16493
7,"UNIVERSITY AVE",179039
7,"VICTORIA PARK AVE",50181
7,"WARDEN AVE",47369
7,"WILSON AVE",94308
7,"WOODBINE AVE",15374
7,"YONGE ST",516516
7,"YORKDALE RD",12265
